Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2013,E.J. Manuel,QB,Florida State,5-Jun,237,4.65,34,,118,7.08,4.21
2013,Brett Maher,K,Nebraska,Jun-00,186,4.89,,,,,
2013,Zach Line,FB,Southern Methodist,Jun-00,232,4.77,30.5,26,111,,
2013,Alec Lemon,WR,Syracuse,1-Jun,202,4.59,32,7,112,7.04,4.29
2013,Marcus Lattimore,RB,South Carolina,11-May,221,4.65,,,,,
2013,Eddie Lacy,RB,Alabama,11-May,231,4.55,,,,,
2013,Collin Klein,QB,Kansas State,5-Jun,226,4.78,29,,111,7.17,4.4
2013,Tavarres King,WR,Georgia,Jun-00,189,4.47,36.5,11,123,6.91,4.33
2013,Travis Kelce,TE,Cincinnati,5-Jun,255,4.63,,,,,
2013,Brandon Kaufman,WR,Eastern Washington,5-Jun,216,4.67,33.5,9,115,7.11,4.44
2013,Nick Kasa,TE,Colorado,6-Jun,269,4.71,31.5,22,113,,
2013,Landry Jones,QB,Oklahoma,4-Jun,225,5.11,31,,115,7.12,4.3
2013,Darius Johnson,WR,Southern Methodist,9-May,179,4.6,32,6,109,,4.53
2013,D.C. Jefferson,TE,Rutgers,6-Jun,255,4.97,,3,,,
2013,Jawan Jamison,RB,Rutgers,7-May,203,4.68,29,20,110,,
2013,Mike James,RB,Miami (FL),10-May,223,4.53,35,28,115,,4.62
2013,Justin Hunter,WR,Tennessee,4-Jun,196,4.44,39.5,,136,,4.33
2013,Dustin Hopkins,K,Florida State,2-Jun,193,4.74,33.5,,116,,
2013,DeAndre Hopkins,WR,Clemson,1-Jun,214,4.57,36,15,115,,4.5
2013,Mark Harrison,WR,Rutgers,3-Jun,231,4.46,38.5,17,129,6.99,4.33
2013,Chris Harper,WR,Kansas State,1-Jun,229,4.55,35.5,20,116,6.89,4.39
2013,Cobi Hamilton,WR,Arkansas,2-Jun,212,4.56,29.5,11,107,,4.31
2013,MarQueis Gray,QB,Minnesota,3-Jun,240,4.65,30,15,111,7.25,4.3
2013,Ray Graham,RB,Pittsburgh,9-May,199,4.8,32.5,18,112,7.17,4.21
2013,Chris Gragg,TE,Arkansas,3-Jun,244,4.5,37.5,18,125,7.08,4.51
2013,Marquise Goodwin,WR,Texas,9-May,183,4.27,,13,132,,
2013,Mike Glennon,QB,North Carolina State,7-Jun,225,4.94,26.5,,102,7.49,4.52
2013,Mike Gillislee,RB,Florida,11-May,208,4.55,30.5,15,119,7.12,4.4
2013,Matt Furstenburg,TE,Maryland,4-Jun,242,4.62,35.5,18,115,7.09,4.35
2013,Corey Fuller,WR,Virginia Tech,2-Jun,204,4.43,31.5,12,120,,
2013,Johnathan Franklin,RB,UCLA,10-May,205,4.49,31.5,18,115,6.89,4.31
2013,Michael Ford,RB,LSU,9-May,210,4.5,38.5,25,130,6.87,4.25
2013,Joseph Fauria,TE,UCLA,7-Jun,259,4.82,,17,,,
2013,Gavin Escobar,TE,San Diego State,6-Jun,254,4.84,32,,114,7.07,4.31
2013,Zach Ertz,TE,Stanford,5-Jun,249,4.76,30.5,24,111,7.08,4.47
2013,Andre Ellington,RB,Clemson,9-May,199,4.61,34,,122,,
2013,Tyler Eifert,TE,Notre Dame,5-Jun,250,4.68,35.5,22,119,6.92,4.32
2013,Zac Dysert,QB,Miami (OH),3-Jun,231,4.81,,,,,
2013,Aaron Dobson,WR,Marshall,3-Jun,210,4.37,,,,,
2013,Marcus Davis,WR,Virginia Tech,3-Jun,233,4.56,39.5,19,120,7.15,
2013,Knile Davis,RB,Arkansas,11-May,227,4.37,33.5,31,121,6.96,4.38
2013,Justice Cunningham,TE,South Carolina,3-Jun,258,4.94,31.5,,116,7.12,4.45
2013,Anthony Cantele,K,Kansas State,10-May,180,4.76,,,,,
2013,Colby Cameron,QB,Louisiana Tech,2-Jun,212,4.78,30.5,,112,6.98,4.28
2013,Rex Burkhead,RB,Nebraska,10-May,214,4.73,39,21,125,6.85,4.09
2013,Marlon Brown,WR,Georgia,4-Jun,213,4.63,,,,,
2013,Tyler Bray,QB,Tennessee,6-Jun,232,5.05,,,100,7.2,4.51
2013,Josh Boyce,WR,TCU,11-May,206,4.38,34,22,131,6.68,4.1
2013,Zach Boren,FB,Ohio State,11-May,238,5,32,25,109,7.28,4.44
2013,Alan Bonner,WR,Jacksonville State,10-May,193,4.59,33,14,117,,4.15
2013,Tommy Bohanon,FB,Wake Forest,1-Jun,246,4.88,35,36,119,7.27,4.42
2013,Giovani Bernard,RB,North Carolina,8-May,202,4.53,33.5,19,122,6.91,4.12
2013,Le'Veon Bell,RB,Michigan State,1-Jun,230,4.6,31.5,24,118,6.75,4.24
2013,Kenjon Barner,RB,Oregon,9-May,196,4.52,35.5,20,122,6.87,4.2
2013,Matt Barkley,QB,Southern California,2-Jun,227,4.91,,,,,
2013,Montee Ball,RB,Wisconsin,10-May,214,4.66,32,15,118,6.88,4.4
2013,Stedman Bailey,WR,West Virginia,10-May,193,4.52,34.5,11,117,6.81,4.09
2013,Tavon Austin,WR,West Virginia,8-May,174,4.34,32,14,120,,4.01
2013,C.J. Anderson,RB,California,8-May,224,4.6,32,17,119,7.15,4.12
2013,Keenan Allen,WR,California,2-Jun,206,4.58,,,,,
2013,James Vandenberg,QB,Iowa,3-Jun,226,4.92,32,,116,6.95,4.52
2013,Tyrone Goard,WR,Eastern Kentucky,4-Jun,205,4.5,36,10,123,6.9,4.39
2013,D.J. Harper,RB,Boise State,9-May,211,4.52,33.5,23,120,7.07,4.35
2013,Montel Harris,RB,Temple,8-May,208,4.68,32.5,19,113,6.95,4.18
2013,Stefphon Jefferson,RB,Nevada,10-May,213,4.68,31,15,117,6.97,4.44
2013,Philip Lutzenkirchen,TE,Auburn,3-Jun,258,4.94,30.5,21,112,7.15,4.35
2013,Robbie Rouse,RB,Fresno State,6-May,190,4.8,34,15,114,6.97,4.25
2012,Devon Wylie,WR,Fresno State,9-May,187,4.36,39,17,123,,
2012,Kendall Wright,WR,Baylor,10-May,196,4.49,38.5,,121,6.93,4.18
2012,Jarius Wright,WR,Arkansas,10-May,182,4.39,38,11,120,6.93,4.03
2012,Russell Wilson,QB,Wisconsin,11-May,204,4.53,34,,118,6.97,4.09
2012,David Wilson,RB,Virginia Tech,10-May,206,4.38,41,,132,7.09,4.12
2012,Jordan White,WR,Western Michigan,Jun-00,208,4.63,35,14,119,6.84,4.13
2012,Fozzy Whittaker,RB,Maryland,9-May,193,4.49,,20,,,
2012,Brandon Weeden,QB,Oklahoma State,3-Jun,221,4.89,,,,,
2012,Blair Walsh,K,Georgia,9-May,187,4.96,,,,,
2012,Robert Turbin,RB,Utah State,10-May,222,4.42,36,28,122,7.16,4.31
2012,Nick Toon,WR,Wisconsin,2-Jun,215,4.49,37.5,18,,,
2012,Ryan Tannehill,QB,Texas A&M,4-Jun,221,4.65,,,,,
2012,Tommy Streeter,WR,Miami (FL),5-Jun,219,4.37,33,17,125,7.08,
2012,Mohamed Sanu,WR,Rutgers,1-Jun,211,4.62,36,19,126,6.88,4.22
2012,Evan Rodriguez,FB,Temple,1-Jun,239,4.53,36,18,119,6.94,4.28
2012,James Rodgers,WR,Oregon State,7-May,184,4.61,37,19,115,,4.23
2012,Trent Richardson,RB,Alabama,9-May,228,4.48,,,,,
2012,Rueben Randle,WR,LSU,3-Jun,210,4.55,31,15,121,6.99,4.36
2012,Chris Rainey,RB,Florida,8-May,180,4.36,36.5,16,120,6.5,3.93
2012,Brian Quick,WR,Appalachian State,3-Jun,220,4.5,34,15,119,7.1,4.23
2012,DeVier Posey,WR,Ohio State,2-Jun,211,4.39,36.5,14,123,7.03,4.15
2012,Tauren Poole,RB,Tennessee,10-May,205,4.48,34,24,118,7.36,4.19
2012,Chris Polk,RB,Washington,10-May,215,4.52,31.5,,111,7.13,4.21
2012,Bernard Pierce,RB,Temple,Jun-00,218,4.45,36.5,17,123,7.07,4.28
2012,DeAngelo Peterson,TE,LSU,3-Jun,243,4.69,36,18,121,7.19,
2012,Isaiah Pead,RB,Cincinnati,10-May,197,4.39,33,,116,6.95,4.32
2012,David Paulson,TE,Oregon,3-Jun,246,4.79,32,21,110,7.18,4.4
2012,Eric Page,WR,Toledo,9-May,186,4.5,30,15,112,6.95,3.98
2012,Chris Owusu,WR,Stanford,Jun-00,196,4.36,40.5,19,129,6.85,4.11
2012,Brock Osweiler,QB,Arizona State,7-Jun,242,4.83,,,,,
2012,Derek Moye,WR,Penn State,4-Jun,209,4.46,33.5,10,115,,4.23
2012,Alfred Morris,RB,Florida Atlantic,10-May,219,4.63,35.5,16,117,7.01,4.19
2012,Kellen Moore,QB,Boise State,Jun-00,197,4.82,27,,99,7.41,4.56
2012,Kashif Moore,WR,Connecticut,9-May,180,4.36,43.5,19,126,6.82,4.05
2012,Lamar Miller,RB,Miami (FL),11-May,212,4.34,33,,,,
2012,Davin Meggett,RB,Maryland,8-May,211,4.5,35,23,118,7.14,4.32
2012,Marvin McNutt,WR,Iowa,3-Jun,216,4.48,37,,122,7.15,4.07
2012,Rishard Matthews,WR,Nevada,Jun-00,217,4.54,36,20,,6.88,4.19
2012,Keshawn Martin,WR,Michigan State,11-May,188,4.42,39.5,13,122,6.85,4.13
2012,Doug Martin,RB,Boise State,9-May,223,4.46,36,28,120,6.79,4.16
2012,Andrew Luck,QB,Stanford,4-Jun,234,4.59,36,,124,6.8,4.28
2012,Ryan Lindley,QB,San Diego State,4-Jun,229,4.86,29.5,,108,7.52,4.45
2012,Case Keenum,QB,Houston,1-Jun,208,4.72,32.5,,103,,
2012,Jermaine Kearse,WR,Washington,1-Jun,209,4.5,34,14,119,7.03,4.12
2012,Marvin Jones,WR,California,2-Jun,199,4.46,33,22,112,6.81,4.11
2012,Dwight Jones,WR,North Carolina,3-Jun,230,4.51,33,14,109,,
2012,A.J. Jenkins,WR,Illinois,Jun-00,190,4.37,38.5,12,124,,
2012,Alshon Jeffery,WR,South Carolina,3-Jun,216,4.48,,,,,
2012,LaMichael James,RB,Oregon,8-May,194,4.35,35,15,123,6.88,4.12
2012,Jerrell Jackson,WR,Missouri,Jun-00,196,4.5,41,22,127,6.82,4.11
2012,Emil Igwenagu,FB,Massachusetts,1-Jun,249,4.7,34.5,19,121,7.32,4.4
2012,T.Y. Hilton,WR,Florida International,9-May,183,4.34,,,,,
2012,Stephen Hill,WR,Georgia Tech,4-Jun,215,4.36,39.5,14,133,6.88,4.48
2012,Ronnie Hillman,RB,San Diego State,9-May,200,4.42,37,17,,,
2012,Dan Herron,RB,Ohio State,10-May,213,4.57,35,22,117,6.97,4.04
2012,Junior Hemingway,WR,Michigan,1-Jun,225,4.48,35.5,21,124,6.59,3.98
2012,Chandler Harnish,QB,Northern Illinois,2-Jun,219,4.68,32.5,,112,6.78,4.15
2012,Cory Harkey,TE,UCLA,4-Jun,260,5.06,26.5,13,109,7.4,4.69
2012,James Hanna,TE,Oklahoma,4-Jun,252,4.43,36,24,122,6.76,4.11
2012,Darius Hanks,WR,Alabama,Jun-00,184,4.52,34,11,117,,
2012,Jewel Hampton,RB,Southern Illinois,9-May,218,4.56,,26,,,
2012,Robert Griffin,QB,Baylor,2-Jun,223,4.33,39,,120,,
2012,Ladarius Green,TE,Louisiana-Lafayette,6-Jun,238,4.45,34.5,16,124,7.12,4.47
2012,Jonas Gray,RB,Notre Dame,10-May,223,4.58,,20,,,
2012,Cyrus Gray,RB,Texas A&M,10-May,206,4.4,32.5,21,114,7.17,
2012,T.J. Graham,WR,North Carolina State,11-May,188,4.34,33.5,8,120,6.77,4.18
2012,Chris Givens,WR,Wake Forest,11-May,198,4.35,33.5,19,118,6.97,4.23
2012,Terrance Ganaway,RB,Baylor,11-May,239,4.61,37.5,,119,7.15,4.25
2012,Jeff Fuller,WR,Texas A&M,4-Jun,223,4.53,,17,,,
2012,Nick Foles,QB,Arizona,5-Jun,243,5.14,30.5,,112,,
2012,Michael Floyd,WR,Notre Dame,3-Jun,220,4.4,36.5,16,122,,
2012,Coby Fleener,TE,Stanford,6-Jun,247,4.51,,27,,,
2012,Bradie Ewing,FB,Wisconsin,Jun-00,239,4.73,36.5,14,120,7.14,4.16
2012,Rhett Ellison,TE,Southern California,5-Jun,251,4.78,31.5,,109,,
2012,Michael Egnew,TE,Missouri,5-Jun,252,4.52,36,21,131,7.03,4.32
2012,Patrick Edwards,WR,Houston,9-May,172,4.57,,,,,
2012,Drake Dunsmore,FB,Northwestern,2-Jun,241,4.63,35.5,21,117,6.73,4.03
2012,Austin Davis,QB,Southern Miss,2-Jun,219,4.69,31,,109,6.73,4.11
2012,B.J. Cunningham,WR,Michigan State,1-Jun,211,4.52,31.5,12,116,7.1,
2012,Juron Criner,WR,Arizona,2-Jun,224,4.66,38,17,117,7.15,4.3
2012,Kirk Cousins,QB,Michigan State,3-Jun,214,4.84,28.5,,109,7.05,4.5
2012,Josh Cooper,WR,Oklahoma State,11-May,190,4.65,,11,,,
2012,B.J. Coleman,QB,Chattanooga,3-Jun,233,4.94,,,109,7.07,4.38
2012,Danny Coale,WR,Virginia Tech,Jun-00,201,4.42,35,12,115,6.69,4.15
2012,Greg Childs,WR,Arkansas,3-Jun,219,4.52,36.5,19,125,,
2012,Orson Charles,TE,Georgia,2-Jun,251,4.73,,35,,,
2012,Randy Bullock,K,Texas A&M,9-May,205,,,,,,
2012,Ryan Broyles,WR,Oklahoma,10-May,192,4.57,,21,,,
2012,LaVon Brazill,WR,Ohio,11-May,192,4.43,32.5,11,,,
2012,Jarrett Boykin,WR,Virginia Tech,2-Jun,217,4.62,36,11,123,7.12,4.28
2012,Brandon Bolden,RB,Mississippi,11-May,222,4.55,38,21,119,6.96,4.44
2012,Justin Blackmon,WR,Oklahoma State,1-Jun,207,4.46,,14,,,
2012,Travis Benjamin,WR,Miami (FL),10-May,172,4.31,38,14,119,,
2012,Tim Benford,WR,Tennessee Tech,11-May,205,4.51,,15,,,
2012,Vick Ballard,RB,Mississippi State,10-May,219,4.59,33,23,115,7.03,4.19
2012,Edwin Baker,RB,Michigan State,8-May,204,4.44,35,20,111,7.27,4.31
2012,Dwayne Allen,TE,Clemson,3-Jun,255,4.85,32,27,110,7.12,4.37
2012,Joe Adams,WR,Arkansas,11-May,179,4.51,36,,123,7.09,
2012,Patrick Witt,QB,Yale,3-Jun,225,5.06,31.5,,101,7.14,4.37
2012,Carson Wiggs,K,Purdue,1-Jun,221,4.91,,,,,
2012,Marc Tyler,RB,Southern California,11-May,219,4.7,30.5,19,110,,
2012,Darron Thomas,QB,Oregon,3-Jun,220,4.77,36,14,121,7.17,4.28
2012,Dave Teggart,K,Connecticut,Jun-00,201,5.25,,,,,
2012,Darrell Scott,RB,South Florida,Jun-00,231,4.68,31.5,,,,
2012,Gerell Robinson,WR,Arizona State,3-Jun,227,4.54,35.5,,113,,4.15
2012,Mike Ball,RB,Nevada,8-May,206,4.54,36,21,112,7.1,4.23
2012,Aaron Corp,QB,Richmond,3-Jun,215,4.61,31.5,,106,7.03,4.3
2012,Lennon Creer,RB,Louisiana Tech,11-May,219,4.67,33.5,21,110,7.26,4.4
2012,Derek Dimke,K,Illinois,11-May,178,5.02,,,,,
2012,Jacory Harris,QB,Miami (FL),3-Jun,203,4.65,37,,113,7.1,4.4
2012,Jordan Jefferson,QB,LSU,4-Jun,223,4.58,36.5,14,116,6.81,4.06
2012,Marquis Maze,WR,Alabama,8-May,186,4.51,33.5,,112,,
2012,Nick Provo,TE,Syracuse,3-Jun,237,4.76,,,,,
2012,Beau Reliford,TE,Florida State,5-Jun,256,4.84,,,,,
2011,Titus Young,WR,Boise State,11-May,174,4.43,,,123,,
2011,T.J. Yates,QB,North Carolina,3-Jun,219,5.06,29.5,,104,6.96,4.12
2011,Ryan Williams,RB,Virginia Tech,9-May,212,4.59,40,19,123,6.96,4.18
2011,D.J. Williams,TE,Arkansas,2-Jun,245,4.59,33.5,20,111,7.29,4.51
2011,Johnny White,RB,North Carolina,10-May,209,4.5,32.5,,117,7.07,4.31
2011,Ryan Whalen,WR,Stanford,1-Jun,202,4.53,38.5,18,123,6.67,4.09
2011,Shane Vereen,RB,California,10-May,210,4.49,34,31,115,6.95,4.28
2011,Scott Tolzien,QB,Wisconsin,2-Jun,212,4.92,29.5,,116,6.84,4.12
2011,Terrence Toliver,WR,Michigan State,3-Jun,212,4.52,32,,122,6.48,4.03
2011,Jordan Todman,RB,Connecticut,9-May,203,4.4,38,25,126,7.24,4.18
2011,Julius Thomas,TE,Portland State,5-Jun,246,4.64,35.5,16,111,6.96,4.31
2011,Daniel Thomas,RB,Kansas State,Jun-00,230,4.62,,21,,,
2011,Tyrod Taylor,QB,Virginia Tech,1-Jun,217,4.47,37.5,,126,6.78,4.09
2011,Vai Taua,RB,Nevada,9-May,213,4.65,34.5,20,112,6.89,4.18
2011,Luke Stocker,TE,Tennessee,5-Jun,258,4.68,33,27,115,7.03,4.4
2011,Ricky Stanzi,QB,Iowa,4-Jun,223,4.87,32.5,,110,6.95,4.43
2011,Owen Spencer,WR,North Carolina State,2-Jun,195,4.51,37.5,6,125,6.86,4.18
2011,Torrey Smith,WR,Maryland,1-Jun,204,4.41,41,19,126,6.72,4.13
2011,Lee Smith,TE,Marshall,6-Jun,266,4.94,29,25,108,7.13,4.28
2011,Keith Smith,WR,Purdue,2-Jun,214,4.65,,,,,
2011,Cecil Shorts,WR,Mount Union,Jun-00,205,4.5,34.5,21,114,6.5,4.07
2011,Anthony Sherman,FB,Connecticut,10-May,242,4.74,32.5,32,111,7.23,4.41
2011,Da'Rel Scott,RB,Maryland,11-May,211,4.4,34,19,117,7.15,4.2
2011,Weslye Saunders,TE,South Carolina,5-Jun,270,4.93,33.5,19,116,,
2011,Dane Sanzenbacher,WR,Ohio State,11-May,182,4.56,33.5,,118,6.46,3.97
2011,DeMarco Sampson,WR,San Diego State,2-Jun,204,4.41,,14,,,
2011,Greg Salas,WR,Hawaii,1-Jun,210,4.53,37,15,120,6.65,4.1
2011,Brandon Saine,RB,Ohio State,11-May,220,4.4,34.5,22,113,6.98,4.25
2011,Kyle Rudolph,TE,Notre Dame,6-Jun,259,4.83,,,,,
2011,Evan Royster,RB,Penn State,Jun-00,212,4.65,34,20,113,7.07,4.18
2011,Jacquizz Rodgers,RB,Oregon State,6-May,196,4.59,33,,113,7.31,4.26
2011,Aldrick Robinson,WR,Southern Methodist,10-May,184,4.35,40,17,126,6.65,4.09
2011,Stevan Ridley,RB,LSU,11-May,225,4.65,36,18,118,6.78,4.21
2011,Allen Reisner,FB,Iowa,2-Jun,248,4.9,28,14,108,7.31,4.59
2011,Bilal Powell,RB,Louisville,10-May,207,4.51,,18,,,
2011,Josh Portis,QB,California (PA),3-Jun,211,4.59,40,,126,6.84,4.12
2011,Christian Ponder,QB,Florida State,2-Jun,229,4.63,34,,116,6.85,4.09
2011,Kealoha Pilares,WR,Hawaii,10-May,199,4.42,,19,,,
2011,Zack Pianalto,TE,Michigan State,3-Jun,256,4.78,32,22,108,6.85,4.41
2011,Austin Pettis,WR,Boise State,3-Jun,209,4.56,33.5,14,120,6.68,3.88
2011,Niles Paul,WR,Nebraska,1-Jun,224,4.45,34.5,24,117,6.9,4.14
2011,Schuylar Oordt,TE,Northern Iowa,6-Jun,261,4.63,36,18,119,6.83,4.25
2011,Cam Newton,QB,Auburn,5-Jun,248,4.56,35,,126,6.92,4.18
2011,Jamar Newsome,WR,Central Florida,Jun-00,200,4.46,38.5,13,129,6.83,4.22
2011,DeMarco Murray,RB,Oklahoma,Jun-00,213,4.37,34.5,21,124,7.28,4.18
2011,O.J. Murdock,WR,Fort Hays State,10-May,197,4.5,34.5,15,116,,4.37
2011,Denarius Moore,WR,Tennessee,Jun-00,194,4.43,36,13,118,6.78,4.15
2011,Greg McElroy,QB,Alabama,2-Jun,220,4.84,33,,107,7.11,4.45
2011,Owen Marecic,FB,Stanford,Jun-00,248,4.87,28.5,22,102,7.1,4.56
2011,Ryan Mallett,QB,Arkansas,7-Jun,253,5.37,24,,103,,
2011,Jeff Maehl,WR,Oregon,1-Jun,190,4.56,33.5,,115,6.42,3.94
2011,Ricardo Lockette,WR,Fort Valley State,2-Jun,211,4.34,35.5,,127,7.15,4.19
2011,Jake Locker,QB,Washington,2-Jun,231,4.51,35,,120,6.77,4.12
2011,Greg Little,WR,North Carolina,2-Jun,231,4.51,40.5,27,129,6.8,4.21
2011,Dion Lewis,RB,Pittsburgh,7-May,193,4.56,34.5,17,112,6.9,4.18
2011,Mikel Leshoure,RB,Illinois,Jun-00,227,4.56,38,21,122,6.82,4.4
2011,Jeremy Kerley,WR,TCU,9-May,189,4.56,34.5,16,120,,
2011,Lance Kendricks,TE,Wisconsin,3-Jun,243,4.65,34.5,25,122,6.94,4.15
2011,Colin Kaepernick,QB,Nevada,5-Jun,233,4.53,32.5,,115,6.85,4.18
2011,Taiwan Jones,RB,Eastern Washington,Jun-00,194,4.33,,13,,,
2011,Julio Jones,WR,Alabama,3-Jun,220,4.34,38.5,17,135,6.66,4.25
2011,Ronald Johnson,WR,Southern California,11-May,199,4.46,,16,,,
2011,Jerrod Johnson,QB,Texas A&M,5-Jun,251,4.75,29,,119,7.28,4.31
2011,Jerrel Jernigan,WR,Troy,9-May,185,4.46,37.5,11,124,7.07,4.25
2011,Lestar Jean,WR,Florida Atlantic,3-Jun,215,4.61,37.5,14,113,7.45,4.43
2011,Mark Ingram,RB,Alabama,9-May,215,4.62,31.5,21,118,7.13,4.62
2011,Henry Hynoski,FB,Pittsburgh,Jun-00,257,5.06,30.5,24,111,,
2011,Kendall Hunter,RB,Oklahoma State,7-May,199,4.46,35,24,122,6.74,4.21
2011,Rob Housler,TE,Florida Atlantic,5-Jun,248,4.46,37,22,117,6.9,4.21
2011,Andre Holmes,WR,Hillsdale,4-Jun,210,4.51,35,11,130,6.69,4.31
2011,Alex Henery,K,Nebraska,1-Jun,177,4.87,,,,,
2011,Roy Helu,RB,Nebraska,11-May,219,4.4,36.5,11,119,6.67,4.01
2011,Stanley Havili,FB,Southern California,Jun-00,227,4.64,,,,,
2011,Dwayne Harris,WR,East Carolina,10-May,203,4.53,34,10,111,6.77,4.21
2011,Jamie Harper,RB,Clemson,11-May,233,4.53,36.5,24,120,7.16,4.39
2011,Daniel Hardy,TE,Idaho,4-Jun,249,4.78,,18,,,
2011,Leonard Hankerson,WR,Miami (FL),1-Jun,209,4.4,36,14,117,6.94,4.21
2011,Jamel Hamler,WR,Fresno State,1-Jun,193,4.59,32,4,112,7.16,4.18
2011,Tori Gurley,WR,South Carolina,4-Jun,216,4.53,33.5,15,118,7.05,4.25
2011,Virgil Green,TE,Nevada,3-Jun,249,4.54,42.5,23,130,6.9,4.4
2011,Alex Green,RB,Hawaii,Jun-00,225,4.45,34,20,114,6.91,4.15
2011,A.J. Green,WR,Georgia,4-Jun,211,4.48,34.5,18,126,6.91,4.21
2011,Cameron Graham,TE,Louisville,3-Jun,244,5,31,18,105,7.19,4.51
2011,Clyde Gates,WR,Abilene Christian,Jun-00,192,4.31,40,16,131,,
2011,Blaine Gabbert,QB,Missouri,4-Jun,234,4.61,33.5,,120,6.84,4.26
2011,Kai Forbath,K,UCLA,11-May,197,4.78,,,,,
2011,Mario Fannin,RB,Auburn,10-May,231,4.37,37.5,21,115,6.99,4.21
2011,Darren Evans,RB,Virginia Tech,Jun-00,227,4.56,35,26,111,6.96,4.46
2011,Nathan Enderle,QB,Idaho,4-Jun,240,5.12,25.5,,102,7.13,4.46
2011,Shaun Draughn,RB,North Carolina,11-May,213,4.73,34,21,118,7.15,4.2
2011,Tandon Doss,WR,Indiana,2-Jun,201,4.62,,14,,,
2011,Pat Devlin,QB,Delaware,3-Jun,225,4.81,33,,116,7.08,4.32
2011,Mark Dell,WR,Michigan State,Jun-00,193,4.54,,14,,,
2011,Andy Dalton,QB,TCU,2-Jun,215,4.83,29.5,,106,6.93,4.27
2011,Randall Cobb,WR,Kentucky,10-May,191,4.46,33.5,16,115,7.08,4.34
2011,John Clay,RB,Wisconsin,Jun-00,230,4.83,29,,111,,
2011,Charles Clay,FB,Tulsa,3-Jun,245,4.69,33.5,18,118,7.07,4.15
2011,Shaun Chapas,FB,Georgia,2-Jun,247,4.87,35.5,23,116,7.13,4.4
2011,Delone Carter,RB,Syracuse,9-May,222,4.54,37,27,120,6.92,4.07
2011,Jordan Cameron,TE,Southern California,5-Jun,254,4.53,37.5,23,119,6.82,4.03
2011,Stephen Burton,WR,West Texas A&M,1-Jun,221,4.5,34.5,19,117,7.04,4.31
2011,Vincent Brown,WR,Miami (FL),11-May,187,4.68,33.5,12,121,6.64,4.25
2011,Allen Bradford,RB,Southern California,11-May,242,4.53,29,28,113,6.97,4.39
2011,Armon Binns,WR,Cincinnati,3-Jun,209,4.5,31.5,13,118,6.86,4.31
2011,Damien Berry,RB,Miami (FL),10-May,211,4.58,33.5,23,120,7,4.12
2011,Jon Baldwin,WR,Pittsburgh,4-Jun,228,4.49,42,20,129,7.07,4.34
2011,Dan Bailey,K,Oklahoma State,Jun-00,193,4.92,,,,,
2011,Matt Asiata,RB,Utah,11-May,229,4.77,30,22,104,7.09,4.37
2011,Armando Allen,RB,Notre Dame,8-May,199,4.59,,23,,,
2011,Anthony Allen,RB,Georgia Tech,1-Jun,228,4.56,41.5,24,120,6.79,4.06
2011,Darvin Adams,WR,Auburn,2-Jun,190,4.56,,,,,
2011,Jimmy Young,WR,TCU,Jun-00,204,4.5,37,19,115,7.08,4.18
2011,Marshall Williams,WR,Wake Forest,1-Jun,188,4.56,35.5,9,123,6.61,4.09
2011,Jeff Van Camp,QB,Florida Atlantic,5-Jun,218,4.83,31,,114,6.87,4.16
2011,Terrance Turner,WR,Indiana,2-Jun,220,4.53,41,16,128,6.77,4.15
2011,DeAndre Brown,WR,Southern Miss,6-Jun,233,4.59,29,20,117,6.93,4.33
2011,Ryan Colburn,QB,Fresno State,3-Jun,233,5.12,,,,6.84,4.28
2011,Graig Cooper,RB,Miami (FL),10-May,205,4.6,,18,114,6.66,4.03
2011,Noel Devine,RB,West Virginia,7-May,179,4.43,,24,,,
2011,Charlie Gantt,TE,Michigan State,4-Jun,252,4.85,30.5,27,112,7.15,4.4
2011,Josh Jasper,K,LSU,10-May,174,5.06,,,,,
2011,Derrick Locke,RB,Kentucky,8-May,188,4.37,37.5,16,118,6.98,4.15
2011,Joseph Morgan,WR,Michigan State,Jun-00,189,4.38,35.5,10,123,6.91,4.25
2011,Jake Rogers,K,Cincinnati,2-Jun,213,5.06,,,,,
2011,Jock Sanders,WR,West Virginia,6-May,181,4.5,34.5,19,121,6.78,4.13
2010,Stephen Williams,WR,Toledo,4-Jun,210,4.5,36.5,15,125,6.81,4.11
2010,Mike Williams,WR,Syracuse,1-Jun,221,4.53,33.5,8,116,6.9,4.31
2010,Kyle Williams,WR,Arizona State,10-May,188,4.4,33,11,118,7,4.19
2010,Keiland Williams,RB,LSU,11-May,233,4.52,,,,,
2010,Damian Williams,WR,Southern California,1-Jun,197,4.52,38,19,118,6.79,4.24
2010,Blair White,WR,Michigan State,2-Jun,209,4.49,33.5,18,115,6.69,4.03
2010,Chastin West,WR,Fresno State,Jun-00,212,4.59,33.5,15,113,,
2010,Verran Tucker,WR,California,2-Jun,200,4.65,,,,,
2010,Keith Toston,RB,Oklahoma State,Jun-00,213,4.66,32,22,110,,4.67
2010,Manase Tonga,FB,BYU,11-May,245,4.84,32,19,105,7.44,4.69
2010,Demaryius Thomas,WR,Georgia Tech,3-Jun,224,4.52,,,,,
2010,Tim Tebow,QB,Florida,3-Jun,236,4.71,38.5,,115,6.66,4.17
2010,Golden Tate,WR,Notre Dame,10-May,199,4.42,35,17,120,7.12,4.34
